author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
В.Ю. Групп.,real_estate_agent,https://www.cian.ru/sale/flat/296437742/,Москва,sale,flat,5,14,3,80.2,-1,0,16600000,Южное Бутово,Бартеневская ,23К2,Бульвар Адмирала Ушакова,
БЕСТ на Проспекте Мира,real_estate_agent,https://www.cian.ru/sale/flat/301415788/,Москва,sale,flat,7,9,3,59.0,-1,0,16700000,Коньково, Академика Волгина,7,Беляево,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300112113/,Москва,sale,flat,5,16,3,65.9,-1,0,17000000,Лианозово,Череповецкая ,13,Алтуфьево,
ID 234792,real_estate_agent,https://www.cian.ru/sale/flat/297988252/,Москва,sale,flat,4,5,3,61.4,-1,0,16999999,Южнопортовый, Мельникова,18А,Пролетарская,
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/295927552/,Москва,sale,flat,12,14,3,78.0,-1,0,16950000,Царицыно,Кантемировская ,5К4,Кантемировская,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/297853859/,Москва,sale,flat,12,16,3,65.4,-1,0,16900000,Перово,Мастеровая ,2/6,Перово,
RND,real_estate_agent,https://www.cian.ru/sale/flat/300007509/,Москва,sale,flat,15,17,3,75.6,-1,0,17300000,Внуково,Интернациональная ,2к1,Аэропорт Внуково,
МГСН,real_estate_agent,https://www.cian.ru/sale/flat/291711151/,Москва,sale,flat,19,23,3,79.2,-1,0,17200000,Некрасовка, Маресьева,7к2,Некрасовка,Квартал Некрасовка
ID 98867805,unknown,https://www.cian.ru/sale/flat/301402653/,Москва,sale,flat,2,11,3,75.0,-1,0,17500000,Старое Крюково,Солнечная аллея,к935,Зеленоград — Крюково,
Елена Иванова,realtor,https://www.cian.ru/sale/flat/301163056/,Москва,sale,flat,4,9,3,59.0,-1,0,17500000,Кузьминки, Федора Полетаева,30,Кузьминки,
БЭСТ ФАКТОРИ НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/299856802/,Москва,sale,flat,6,16,3,68.3,-1,0,18000000,Северное Медведково,Северодвинская ,19,Медведково,
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/296410403/,Москва,sale,flat,10,22,3,56.0,-1,0,18000000,Хорошевский,1-я Магистральная ,25,Хорошёвская,Сити-комплекс Мята
ID 40779537,unknown,https://www.cian.ru/sale/flat/299118769/,Москва,sale,flat,14,16,3,70.0,-1,0,17900000,, Липовый Парк,5к2,Коммунарка,Москва А101
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/301697502/,Москва,sale,flat,1,19,3,81.2,-1,0,18300000,, Никитина,4,Рассказовка,Город-парк Первый Московский
ID 50292448,homeowner,https://www.cian.ru/sale/flat/300791362/,Москва,sale,flat,6,9,3,74.3,-1,0,18550000,Солнцево,Родниковая ,5А,Солнцево,
ID 96313919,homeowner,https://www.cian.ru/sale/flat/300788549/,Москва,sale,flat,5,5,3,73.0,-1,0,18500000,Коптево,бульвар Матроса Железняка,14к1,Коптево,
Андрей Лебешов,realtor,https://www.cian.ru/sale/flat/292866562/,Москва,sale,flat,17,17,3,74.5,-1,0,18800000,Марьино,Братиславская ,31К1,Братиславская,
