author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 389596,unknown,https://www.cian.ru/sale/flat/291024191/,Москва,sale,flat,4,23,2,38.4,-1,0,10250000,Некрасовка, Маресьева,7к2,Некрасовка,Квартал Некрасовка
ID 115003717,homeowner,https://www.cian.ru/sale/flat/300430136/,Москва,sale,flat,9,19,2,54.9,-1,0,10400000,Молжаниновский,Синявинская ,11к16,Новоподрезково,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/291049452/,Москва,sale,flat,6,9,2,42.8,-1,0,10500000,Печатники, Полбина,42,Люблино,
Светлана Калиниченко,realtor,https://www.cian.ru/sale/flat/300240750/,Москва,sale,flat,8,9,2,42.2,-1,0,10500000,Северное Измайлово,Сиреневый бульвар,73К1,Щёлковская,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/296471578/,Москва,sale,flat,5,5,2,43.1,-1,0,10500000,Кунцево, 2-я Новорублевская,15к1,Строгино,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153276/,Москва,sale,flat,1,14,2,56.0,-1,0,10450000,, Яворки,1к3,Коммунарка,Кленовые Аллеи
ID 114400052,homeowner,https://www.cian.ru/sale/flat/300510506/,Москва,sale,flat,10,12,2,57.6,-1,0,10600000,Печатники, Полбина,23К1,Депо,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301518517/,Москва,sale,flat,8,14,2,38.0,-1,0,10700000,Покровское-Стрешнево, Малая Набережная,5с1,Тушинская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/296944257/,Москва,sale,flat,10,17,2,59.0,-1,0,10650000,, Яворки,1к5,Коммунарка,Кленовые Аллеи
Алла Шмелева,realtor,https://www.cian.ru/sale/flat/294746939/,Москва,sale,flat,8,12,2,48.0,-1,0,10700000,Перово, Плющева,18К1,Перово,
Александр Ясырев,realtor,https://www.cian.ru/sale/flat/301231619/,Москва,sale,flat,5,9,2,44.2,-1,0,10690000,Вешняки,Реутовская ,4,Новогиреево,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299021060/,Москва,sale,flat,9,12,2,37.2,-1,0,10800000,Гольяново,Чусовская ,13,Щёлковская,
Будь первым,real_estate_agent,https://www.cian.ru/sale/flat/298565188/,Москва,sale,flat,2,9,2,44.2,-1,0,10890000,Печатники, Кухмистерова,18,Люблино,
CENTURY 21 Milestone,real_estate_agent,https://www.cian.ru/sale/flat/300290874/,Москва,sale,flat,2,17,2,54.1,-1,0,10800000,Некрасовка,Рождественская ,21к6,Некрасовка,
ID 43427484,homeowner,https://www.cian.ru/sale/flat/299297203/,Москва,sale,flat,12,14,2,53.0,-1,0,10800000,Крюково,Зеленоград,к1424,Зеленоград — Крюково,
Офис на Серпуховской,real_estate_agent,https://www.cian.ru/sale/flat/300570970/,Москва,sale,flat,6,25,2,40.1,-1,0,10900000,,,5,Коммунарка,Эдальго
Юлия Чинарева,realtor,https://www.cian.ru/sale/flat/295763803/,Москва,sale,flat,2,9,2,43.7,-1,0,10900000,Преображенское,Халтуринская ,19,Бульвар Рокоссовского,
ID 73572078,unknown,https://www.cian.ru/sale/flat/300616262/,Москва,sale,flat,7,16,2,50.4,-1,0,10900000,Орехово-Борисово Южное,Воронежская ,24,Зябликово,
Гретта Асриян,realtor,https://www.cian.ru/sale/flat/301058154/,Москва,sale,flat,5,14,2,65.1,-1,0,10950000,, Харлампиева,48к2,Филатов Луг,Спортивный квартал
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297829179/,Москва,sale,flat,5,9,2,45.4,-1,0,11000000,Гольяново,Красноярская ,13,Щёлковская,
Классика,real_estate_agent,https://www.cian.ru/sale/flat/299151881/,Москва,sale,flat,7,12,2,70.5,-1,0,11000000,, Труда,9,Кокошкино,
Владимир Фетискин,realtor,https://www.cian.ru/sale/flat/298705735/,Москва,sale,flat,5,5,2,41.0,-1,0,11000000,Можайский, Багрицкого,45,Кунцевская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153051/,Москва,sale,flat,1,9,2,44.1,-1,0,11000000,Печатники, Полбина,20,Люблино,
CENTURY 21 Перспектива,real_estate_agent,https://www.cian.ru/sale/flat/299361979/,Москва,sale,flat,5,9,2,45.0,-1,0,11000000,Вешняки,Вешняковская ,27К5,Новогиреево,
ID 88010718,realtor,https://www.cian.ru/sale/flat/301295648/,Москва,sale,flat,10,12,2,37.8,-1,0,11000000,Нижегородский,Нижегородская ,72/2,Калитники,
Фарид Султанов,realtor,https://www.cian.ru/sale/flat/299451127/,Москва,sale,flat,9,9,2,33.8,-1,0,11000000,Люблино, Верхние Поля,7К3,Братиславская,
Виктор Косогоров,realtor,https://www.cian.ru/sale/flat/298160398/,Москва,sale,flat,2,9,2,44.9,-1,0,11190000,Выхино-Жулебино,Ферганский проезд,3К1,Юго-Восточная,
